Darren Watson,Maggotkin of Nurgle,18 Jan 2020,80.19159964804031
Ric Myhill,Slaves to Darkness,18 Jan 2020,79.82051216040279
Nathan Prescott,Gloomspite Gitz,18 Jan 2020,79.44529281456687
Dan Bradshaw,Cities of Sigmar,18 Jan 2020,79.06596228180412
Luke Morton,Idoneth Deepkin,18 Jan 2020,78.68254291283617
James Tinsdale,Idoneth Deepkin,18 Jan 2020,78.29505874423823
Ritchie McAlley,Disciples of Tzeentch,18 Jan 2020,77.90353550372018
Steve Curtis,Ossiarch Bonereapers,18 Jan 2020,77.50800061426844
Jack Armstrong,Cities of Sigmar,18 Jan 2020,77.10848319713324
Craig Namvar,Fyreslayers,18 Jan 2020,76.70501407364655
Laurie H,Sylvaneth,18 Jan 2020,76.29762576585728
Ben Curry,Daughters of Khaine,18 Jan 2020,75.88635249597124
Bryan Carmichael,Hosts of Slaanesh,18 Jan 2020,75.47123018458488
Ben Johnson,Seraphon,18 Jan 2020,75.05229644770246
Liam Cook,Idoneth Deepkin,18 Jan 2020,74.6295905925281
Adam Hall,Bonesplitterz,18 Jan 2020,74.20315361202483
Martin Morrin,Khorne Bloodbound,18 Jan 2020,73.77302817823434
Sam Loving,Stormcast Eternals,18 Jan 2020,73.33925863435226
Sam Saunders,Maggotkin of Nurgle,18 Jan 2020,72.90189098555506
Martjin Zuidema,Ossiarch Bonereapers,18 Jan 2020,72.46097288857612
Simon Cobb,Big Waaagh,18 Jan 2020,72.01655364002943
Dave Glaysher,Hosts of Slaanesh,18 Jan 2020,71.5686841634811
Chris Francis,Sylvaneth,18 Jan 2020,71.11741699527012
Tony Moore,Grand Host of Nagash,18 Jan 2020,70.66280626908087
Tom Mawdsley,Mawtribes,18 Jan 2020,70.20490769927153
Russ Veal,Ossiarch Bonereapers,18 Jan 2020,69.74377856296358
Terry Pike,Khorne Bloodbound,18 Jan 2020,69.27947768089956
Les Martin,Cities of Sigmar,18 Jan 2020,68.81206539707658
