115,Adam Mumford,Idoneth Deepkin,+10.3
116,Dave Glaysher,Ironjawz,+10.3
117,James Hobbs,Seraphon,+10.2
118,Richard Flood,Hedonites of Slaanesh,+10.2
119,Marc Wilson,Cities of Sigmar,+10.2
120,Darron Styles,Seraphon,+10.2
121,Chris Banks,Skaven,+10.1
122,William Barton,Idoneth Deepkin,+10.1
123,Andy Currie,Kharadron Overlords,+9.8
124,Teck Loy,Idoneth Deepkin,+9.8
125,Chris Tomlin,Order Draconis,+9.4
126,Matt Harrison,Hedonites of Slaanesh,+9.4
127,Jack Mayland,Beasts of Chaos,+9.3
128,Nick Thompson,Skaventide,+9.0
129,Adam Sinclair,Ironjawz,+9.0
130,Joel Smith,Maggotkin of Nurgle,+8.9
131,Ben Mardle,Hedonites of Slaanesh,+8.8
132,Matt Lyons,Flesh Eater Courts,+8.8
133,Aaron Wilson,Sylvaneth,+8.8
134,Tom Bell,Ironjawz,+8.8
135,Adam Cunis,Order Draconis,+8.7
136,Danny Biddle,Fyreslayers,+8.5
137,Pete Wrench,Mawtribes,+8.4
138,James Grant,Stormcast Eternals,+8.3
139,Jay Kinsella,Blades of Khorne,+8.3
140,James Williams,Ironjawz,+8.0
141,Alex Tooth,Skaven,+7.9
142,Matthew Hinton,Maggotkin of Nurgle,+7.7
143,Andy Scott,Ironjawz,+7.6
144,Simon Cobb,Ironjawz,+7.6
145,Matthew Pardoe,Slaves to Darkness,+7.6
146,Dan George,Hosts of Slaanesh,+7.5
147,Matt Robertson,Disciples of Tzeentch,+7.4
148,Forrest Wilhoite,Disciples of Tzeentch,+7.1
149,James Powell,Order,+7.0
150,Rob Bradley,Skaventide,+7.0
151,Paul Rea,Skaventide,+6.9
152,James Wilson,Khorne Bloodbound,+6.5
153,Lindon Wedgewood,Gloomspite Gitz,+6.3
154,Ross Joyce,Legion of Blood,+6.2
155,Will O'Siorain,Idoneth Deepkin,+6.1
156,Matthew Croad,Stormcast Eternals,+5.8
157,Matt Rennie,Fyreslayers,+5.7
158,Shane Ford,Beasts of Chaos,+5.5
159,Steven Phillips,Blades of Khorne,+5.4
160,Balal Zafar,Wanderers,+5.4
161,James Clark,Blades of Khorne,+5.3
162,Maxime Julian,Stormcast Eternals,+5.3
163,Chris Francis,Sylvaneth,+5.2
164,Andy Lampkin,Gloomspite Gitz,+5.2
165,Andy Davies,Skaven,+5.2
166,Kyle Brunskill,Order Draconis,+5.2
167,Carl Bagnall,Skaven,+5.2
168,Alex Jones,Skaventide,+5.1
169,Mark Busby,Hedonites of Slaanesh,+5.1
170,Daniel White,Skaventide,+5.1
171,Chris Hibbins,Sylvaneth,+4.9
172,Adrian McWalter,Hedonites of Slaanesh,+4.9
173,Micheal Bennett,Blades of Khorne,+4.7
174,Joe Purcell,Hedonites of Slaanesh,+4.6
175,Lee Bromley,Flesh Eater Courts,+4.6
176,Mark Curtis,Sylvaneth,+4.6
177,John Williams,Blades of Khorne,+4.5
178,Nathan Sandison,Ossiarch Bonereapers,+4.5
179,Ollie Fox,Maggotkin of Nurgle,+4.5
180,Heath Barnes,Blades of Khorne,+4.4
181,Lewis Swan,Blades of Khorne,+4.3
182,Callum Sinclair,Gloomspite Gitz,+4.3
183,Matthew Arnold,Stormcast Eternals,+4.3
184,Alan Witherden,UNKNOWN_ARMY,+4.2
185,Anthony Lewis,Grand Host of Nagash,+4.2
186,Ceri Robson,Gloomspite Gitz,+4.2
187,Andrew Lewis,Flesh Eater Courts,+4.0
188,Seb Donley,Idoneth Deepkin,+3.9
189,Craig Graham,Sylvaneth,+3.9
190,Owen Jackson,Sylvaneth,+3.8
191,Jack Spencer,Flesh Eater Courts,+3.7
192,Tom Fretwell,Flesh Eater Courts,+3.5
193,Thomas Waller,Flesh Eater Courts,+3.4
194,Tom Lees,Gloomspite Gitz,+3.4
195,Daniel Asensio,Fyreslayers,+3.4
196,Stuart Mann,Gloomspite Gitz,+3.3
197,Lee Kay,Dispossessed,+3.3
198,Darryl Jones,Hedonites of Slaanesh,+3.3
199,Mark Storrar,Kharadron Overlords,+3.2
200,Ben Cronin,Flesh Eater Courts,+3.1
201,Tim Unwin,Blades of Khorne,+3.1
202,Andrew Stephen,Beastclaw Raiders,+3.0
203,Neil Montgomery,Hedonites of Slaanesh,+2.9
204,Daniel Arnold,Idoneth Deepkin,+2.9
205,Christian Moore,Hedonites of Slaanesh,+2.9
206,Mark Roberts,Seraphon,+2.7
207,Adam Hall,Hedonites of Slaanesh,+2.7
208,Mikey Gilson,Bonesplitterz,+2.5
209,Johnathon Pano Kyprianidis,Blades of Khorne,+2.4
210,Tim Holbrook,Gloomspite Gitz,+2.4
211,Aaron Vietch,Stormcast Eternals,+2.4
212,Tom Fildes,Kharadron Overlords,+2.2
213,John Connelly,Skaventide,+2.2
214,Joe Jackson,Sylvaneth,+2.2
215,Dermot Lacey,Stormcast Eternals,+2.1
216,Richard Morley,Gloomspite Gitz,+2.1
217,Jonathan Forde,Ironjawz,+2.0
218,Kane Holloway,Blades of Khorne,+1.9
219,Paul Marshallsay,Idoneth Deepkin,+1.9
220,Kevin Grimes,Hedonites of Slaanesh,+1.9
221,James Field,UNKNOWN_ARMY,+1.8
222,Gabe Huddlestone,Legion of Blood,+1.8
223,Rob Kelly,Flesh Eater Courts,+1.5
224,Aaron Walters,Sylvaneth,+1.5
225,Aaron Bailey,Destruction,+1.5
226,Adam Hazelwood,Nighthaunt,+1.2
227,Kieran Harper,Stormcast Eternals,+0.7
228,Craig Chesters,Daughters of Khaine,+0.7
229,Troy Hardy,Hedonites of Slaanesh,+0.7
230,Craig Morrow,Skaventide,+0.5
231,Steve McCormick,Beastclaw Raiders,+0.5
232,Mike Wilding,Hedonites of Slaanesh,+0.3
233,Charles Hollom,Beasts of Chaos,+0.2
234,Cain O'Siorain,Kharadron Overlords,+0.2
235,Dean Lymath,Stormcast Eternals,+0.2
236,Janos Szaniszlo,Ironjawz,+0.0
237,Paul Coram,Sylvaneth,-0.0
238,Wayne Millaer,Stormcast Eternals,-0.1
239,Finn Melton,Disciples of Tzeentch,-0.1
240,Ben Raven,Blades of Khorne,-0.2
241,Jack Westaway,Disciples of Tzeentch,-0.2
242,Chris Carroll,Skaven,-0.3
243,Myles Mulkerrins,Big Waaagh,-0.4
244,Aiden Clieve,Maggotkin of Nurgle,-0.4
245,Alasdair Hutchinson,Gloomspite Gitz,-0.7
246,Richard Elsdon,Stormcast Eternals,-0.8
247,Sebastian Del Monte,Gloomspite Gitz,-0.8
248,Danny Cashman,Kharadron Overlords,-0.8
249,Nicholas Ruesink,Fyreslayers,-1.0
250,David Smyth,Maggotkin of Nurgle,-1.0
251,Chris Mills,Disciples of Tzeentch,-1.1
252,Adam Riley,Stormcast Eternals,-1.3
253,Dan Hughes,Gloomspite Gitz,-1.3
254,Tom Roberts,Blades of Khorne,-1.3
255,Chris Caves Snr,Daughters of Khaine,-1.5
256,Nigel Bartlett,Gutbusters,-1.6
257,James Warth,Stormcast Eternals,-1.7
258,James Box,Big Waaagh,-1.7
