NEW_EVENT_TAG,Fall of The Old World V,16-03-2019,5
Jp Ganis,Flesh Eater Courts,5/0/0
Mike Callaghan,Stormcast Eternals,4/0/1
Craig Graham,Grand Host of Nagash,4/0/1
Leigh Martin,Daughters Of Khaine,4/0/1
Liam Watt,Grand Host of Nagash,4/0/1
John B,Skaven,4/0/1
Stu West,Sylvaneth,4/0/1
John Craig,Maggotkin of Nurgle,4/0/1
Ross Joyce,Legion of Blood,3/0/2
David Nemeth (Loke),Grand Host of Nagash,3/0/2
Nathan Watson,Idoneth Deepkin,3/0/2
Phil McGuinness,Skaven,3/0/2
fraser mcwhirter,Grand Host of Nagash,3/0/2
Mark Roberts,Seraphon,3/0/2
Lyndon Sinclair,Hosts of Slaanesh,3/0/2
MATTR,Moonclan Grots,3/0/2
Sean Mckechnie,Spiderfang Grots,3/0/2
Johnny Forde,Ironjawz,2/0/3
Little Waaagh,Bonesplitterz,2/0/3
Callum Sinclair,Ironjawz,2/0/3
Rich Scott,Stormcast Eternals,2/0/3
Scott Pirie,Warherd,2/0/3
Erik Bews,Slaves To Darkness,2/0/3
Grant Fraser,Bonesplitterz,2/0/3
Kat Fekete,Idoneth Deepkin,2/0/3
Grantmudie,Ironjawz,2/0/3
MATTR,Kat Fekete,Kat Fekete,David Norval,fraser mcwhirter,Kat Fekete,Kat Fekete,Shane Kingston,Liam Watt,Kat Fekete
Grantmudie,Stephen Ramage,Grantmudie,Shane Kingston,Rhys Inglis,Grantmudie,Graeme Davidson,Grantmudie,Craig Graham,Grantmudie
Rhys Inglis,scott smith,Stu West,Rhys Inglis,Rhys Inglis,Grantmudie,Mike Callaghan,Rhys Inglis,John Craig,Rhys Inglis
John Craig,John Harper,Mike Callaghan,John Harper,John Harper,Stu West,scott smith,John Harper,John Harper,Jamie McHugh
Graeme Davidson,Jamie McHugh,Grant Fraser,Graeme Davidson,Mike Callaghan,Graeme Davidson,Graeme Davidson,Grantmudie,Mark Roberts,Graeme Davidson
Rhys Inglis,scott smith,John Craig,scott smith,Leigh Martin,scott smith,scott smith,John Harper,scott smith,MATTR
Grantmudie,Stephen Ramage,Stephen Ramage,Andrew Stephen,John Craig,Stephen Ramage,MATTR,Stephen Ramage,Erik Bews,Stephen Ramage
Graeme Davidson,Jamie McHugh,Rich Scott,Jamie McHugh,Scott Pirie,Jamie McHugh,Jamie McHugh,Andrew Stephen,John Harper,Jamie McHugh
Little Waaagh,Fake version of Brian C,Johnny Forde,Fake version of Brian C,Fake version of Brian C,David Norval,fraser mcwhirter,Fake version of Brian C,Rich Scott,Fake version of Brian C
Andrew Stephen,Shane Kingston,Stephen Ramage,Andrew Stephen,Grant Fraser,Andrew Stephen,Jamie McHugh,Andrew Stephen,Lyndon Sinclair,Andrew Stephen
Andrew Stephen,Shane Kingston,Grantmudie,Shane Kingston,Sean Mckechnie,Shane Kingston,Kat Fekete,Shane Kingston,John Bayliss,Shane Kingston
Erik Bews,David Norval,Kat Fekete,David Norval,Fake version of Brian C,David Norval,Scott Pirie,David Norval,Callum Sinclair,David Norval
