NEW_EVENT_TAG,Australian Age of Sigmar Masters,01-12-2018,5
David Kerr,-,5/0/0
Matt Campbell,-,4/0/1
ChrisWelfare,-,4/0/1
Pat Nevan,-,4/0/1
Chris Tot,-,3/0/2
Scott Norwood,-,3/0/2
Michael Creighton,-,3/0/2
Dalton Copeland,-,3/0/2
Tim MacDivitt,-,3/0/2
Joel McGrath,-,3/0/2
Liam Burnett-Blue,-,3/0/2
Adam Burt,-,3/0/2
Ashley McEwan,-,2/0/3
Jemma Shepherd,-,2/0/3
Jesse Perkins,-,2/0/3
Thomas Holdsworth,-,2/0/3
Ethan McDonald,-,2/0/3
Rob Reimers,-,1/0/4
Luke Taylor,-,1/0/4
Joshua Maher,-,1/0/4
Hayden Walker,-,1/0/4
Corey Ford,-,0/0/5
