115,James Hobbs,Seraphon,+18.0
116,Darron Styles,Seraphon,+17.4
117,Chris Banks,Skaven,+17.2
118,Marc Wilson,Cities of Sigmar,+17.2
119,Richard Flood,Hedonites of Slaanesh,+17.1
120,Dave Glaysher,Ironjawz,+17.0
121,Teck Loy,Idoneth Deepkin,+16.8
122,Andy Currie,Kharadron Overlords,+16.5
123,Ben Mardle,Hedonites of Slaanesh,+15.7
124,Pete Wrench,Mawtribes,+15.7
125,William Barton,Idoneth Deepkin,+15.5
126,Aaron Wilson,Sylvaneth,+15.4
127,Adam Sinclair,Ironjawz,+15.3
128,James Grant,Stormcast Eternals,+15.3
129,Alex Tooth,Skaven,+15.3
130,Jack Mayland,Beasts of Chaos,+15.3
131,Andy Talbot,Stormcast Eternals,+15.0
132,Andrew Lewis,Grand Host of Nagash,+14.8
133,Chris Tomlin,Order Draconis,+14.7
134,Tom Bell,Ironjawz,+14.6
135,Adam Cunis,Order Draconis,+14.6
136,Nick Thompson,Skaventide,+14.4
137,Matt Lyons,Flesh Eater Courts,+14.4
138,Danny Biddle,Fyreslayers,+14.2
139,Jay Kinsella,Blades of Khorne,+14.2
140,Matt Robertson,Disciples of Tzeentch,+14.0
141,Matthew Hinton,Maggotkin of Nurgle,+13.8
142,Simon Cobb,Ironjawz,+13.4
143,Matthew Pardoe,Slaves to Darkness,+13.4
144,Andy Scott,Ironjawz,+13.2
145,Matthew Croad,Stormcast Eternals,+13.1
146,James Williams,Ironjawz,+13.0
147,James Powell,Order,+12.9
148,Rob Bradley,Skaventide,+12.9
149,Dan George,Hosts of Slaanesh,+12.0
150,Ross Joyce,Legion of Blood,+12.0
151,James Wilson,Khorne Bloodbound,+11.8
152,Paul Rea,Skaventide,+11.2
153,Andy Lampkin,Gloomspite Gitz,+10.7
154,Joel Smith,Maggotkin of Nurgle,+10.7
155,Will O'Siorain,Idoneth Deepkin,+10.2
156,Carl Bagnall,Skaven,+10.2
157,Matt Rennie,Fyreslayers,+10.1
158,Alex Jones,Skaventide,+10.0
159,Daniel White,Skaventide,+9.8
160,Kyle Brunskill,Order Draconis,+9.7
161,Shane Ford,Beasts of Chaos,+9.7
162,Andy Davies,Skaven,+9.4
163,James Clark,Blades of Khorne,+9.3
164,Balal Zafar,Wanderers,+9.3
165,Joe Purcell,Hedonites of Slaanesh,+9.1
166,Steven Phillips,Blades of Khorne,+9.1
167,Adrian McWalter,Hedonites of Slaanesh,+8.9
168,Mark Busby,Hedonites of Slaanesh,+8.8
169,Lee Bromley,Flesh Eater Courts,+8.6
170,Maxime Julian,Stormcast Eternals,+8.4
171,Lindon Wedgewood,Gloomspite Gitz,+8.4
172,Mark Curtis,Sylvaneth,+8.4
173,Nathan Sandison,Ossiarch Bonereapers,+8.4
174,Daniel Asensio,Fyreslayers,+8.2
175,Ollie Fox,Maggotkin of Nurgle,+8.2
176,Chris Francis,Sylvaneth,+8.1
177,Micheal Bennett,Blades of Khorne,+8.0
178,Chris Hibbins,Sylvaneth,+8.0
179,Alan Witherden,UNKNOWN_ARMY,+7.8
180,Jack Spencer,Flesh Eater Courts,+7.8
181,Darryl Jones,Hedonites of Slaanesh,+7.7
182,John Williams,Blades of Khorne,+7.6
183,Callum Sinclair,Gloomspite Gitz,+7.4
184,Anthony Lewis,Grand Host of Nagash,+7.3
185,Lewis Swan,Blades of Khorne,+7.2
186,Tom Fretwell,Flesh Eater Courts,+6.9
187,Ceri Robson,Gloomspite Gitz,+6.9
188,Heath Barnes,Blades of Khorne,+6.8
189,Seb Donley,Idoneth Deepkin,+6.5
190,Thomas Waller,Flesh Eater Courts,+6.4
191,Craig Graham,Sylvaneth,+6.4
192,Matthew Arnold,Stormcast Eternals,+6.3
193,Owen Jackson,Sylvaneth,+5.9
194,Tom Lees,Gloomspite Gitz,+5.5
195,Mark Roberts,Seraphon,+5.4
196,Neil Montgomery,Hedonites of Slaanesh,+5.4
197,Mikey Gilson,Bonesplitterz,+5.4
198,Christian Moore,Hedonites of Slaanesh,+5.2
