round,faction,proportion
1,s,34.32835820895522
1,a,16.417910447761194
1,b,35.82089552238806
1,c,8.955223880597014
2,s,33.333333333333336
2,a,14.285714285714285
2,b,38.095238095238095
2,c,9.523809523809524
3,s,30.612244897959183
3,a,16.3265306122449
3,b,36.734693877551024
3,c,12.244897959183673
4,s,30.0
4,a,10.0
4,b,46.666666666666664
4,c,13.333333333333334
5,s,0
5,a,18.181818181818183
5,b,63.63636363636365
5,c,18.181818181818183
