Faction,GA,Image URL,2015-08-22,2015-08-29,2015-09-13,2015-11-07,2015-11-08,2015-11-15,2015-11-21,2015-12-05,2015-12-13,2016-02-06,2016-02-20,2016-03-05,2016-03-12,2016-03-19,2016-03-20,2016-04-09,2016-06-05,2016-06-26,2016-07-02,2016-07-16,2016-08-06,2016-08-07,2016-09-10,2016-09-21,2016-09-24,2016-10-02,2016-10-23,2016-11-17,2016-11-25,2016-11-30,2016-12-10,2016-12-21,2017-01-14,2017-01-21,2017-01-28,2017-02-05,2017-02-11,2017-02-25,2017-03-11,2017-03-12,2017-03-18,2017-03-25,2017-03-26,2017-03-30,2017-04-01,2017-04-08,2017-04-23,2017-05-13,2017-05-14,2017-05-20,2017-05-21,2017-05-28,2017-06-04,2017-06-17,2017-06-18,2017-06-24,2017-07-01,2017-07-15,2017-07-16,2017-07-29,2017-07-30,2017-08-05,2017-08-06,2017-08-13,2017-08-22,2017-08-26,2017-09-02,2017-09-16,2017-09-30,2017-10-07,2017-10-21,2017-11-04,2017-11-19,2017-11-25,2017-11-26,2017-12-09,2017-12-17,2018-01-12,2018-01-14,2018-01-20,2018-01-21,2018-01-27,2018-01-28,2018-01-30,2018-02-10,2018-02-11,2018-02-17,2018-02-18,2018-02-24,2018-03-03,2018-03-04,2018-03-06,2018-03-10,2018-03-17,2018-03-25,2018-04-07,2018-04-08,2018-04-15,2018-04-21,2018-05-05,2018-05-08,2018-05-12,2018-05-19,2018-05-26,2018-05-29,2018-06-03,2018-06-09,2018-06-10,2018-06-26,2018-07-01,2018-07-14,2018-07-15,2018-07-28,2018-08-05,2018-08-11,2018-08-12,2018-08-19,2018-08-25,2018-08-26,2018-09-01,2018-09-08,2018-09-16,2018-09-22,2018-09-29,2018-10-06,2018-10-14,2018-11-02,2018-11-03,2018-11-18,2018-11-24,2018-11-25,2018-12-01,2018-12-09,2018-12-16,2019-01-06,2019-01-12,2019-01-13,2019-01-19,2019-01-20,2019-01-26,2019-01-27,2019-02-02,2019-02-03,2019-02-09,2019-02-11,2019-02-16,2019-02-23,2019-02-24,2019-03-03,2019-03-08,2019-03-09,2019-03-16,2019-03-17,2019-03-29,2019-03-30,2019-03-31,2019-04-05,2019-04-08,2019-04-13,2019-04-14,2019-04-19,2019-04-20,2019-04-21,2019-04-27,2019-04-28,2019-05-05,2019-05-10,2019-05-11,2019-05-18,2019-05-25,2019-06-02,2019-06-04,2019-06-15,2019-06-16,2019-06-22,2019-06-23,2019-06-30,2019-07-06,2019-07-07,2019-07-09,2019-07-12,2019-07-13,2019-07-27,2019-08-04,2019-08-10,2019-08-11,2019-08-24,2019-08-30,2019-08-31,2019-09-02,2019-09-07,2019-09-11,2019-09-14,2019-09-15,2019-09-21,2019-09-27,2019-09-28,2019-09-29,2019-10-05,2019-10-08,2019-10-11,2019-10-13,2019-10-19,2019-10-25,2019-10-26,2019-11-02,2019-11-05,2019-11-09,2019-11-10,2019-11-16,2019-11-17,2019-11-23,2019-11-30,2019-12-05,2019-12-08,2019-12-15,2019-12-21,2019-12-29,2020-01-02,2020-01-08,2020-01-18,2020-01-19,2020-01-25,2020-01-31,2020-02-02,2020-02-05,2020-02-08,2020-02-15,2020-02-16,2020-02-17,2020-02-22,2020-02-29,2020-03-08,2020-03-13,2020-03-14,2020-03-21,2020-05-07,2020-05-09,2020-05-16,2020-05-30,2020-06-13,2020-06-20,2020-07-18,2020-08-02,2020-08-03,2020-08-08,2020-08-14,2020-08-22,2020-08-23,2020-08-29,2020-08-30,2020-09-08,2020-09-20,2020-11-01,2020-12-09
Tomb Kings,Order,imgurl,47.11858888619234,45.546609109041995,55.101143261856436,55.6479570049421,55.6479570049421,58.807125468667955,53.526828768324016,53.526828768324016,53.526828768324016,53.526828768324016,57.204290191784324,57.204290191784324,57.204290191784324,57.204290191784324,57.204290191784324,57.204290191784324,57.204290191784324,57.204290191784324,57.204290191784324,57.204290191784324,57.204290191784324,57.204290191784324,57.204290191784324,57.204290191784324,57.204290191784324,57.204290191784324,57.204290191784324,57.204290191784324,57.204290191784324,57.204290191784324,57.204290191784324,54.45362977766124,54.45362977766124,52.643060892551375,52.643060892551375,52.643060892551375,52.643060892551375,52.643060892551375,52.643060892551375,52.643060892551375,52.643060892551375,52.643060892551375,52.643060892551375,52.643060892551375,52.643060892551375,52.643060892551375,52.643060892551375,52.643060892551375,52.643060892551375,52.643060892551375,52.643060892551375,52.643060892551375,52.643060892551375,52.643060892551375,52.643060892551375,52.643060892551375,52.643060892551375,52.643060892551375,52.643060892551375,52.643060892551375,52.643060892551375,52.643060892551375,52.643060892551375,52.643060892551375,52.643060892551375,52.643060892551375,52.643060892551375,52.643060892551375,52.643060892551375,52.643060892551375,52.643060892551375,52.643060892551375,52.643060892551375,52.643060892551375,52.643060892551375,52.643060892551375,52.643060892551375,52.643060892551375,52.643060892551375,52.643060892551375,53.46033134744957,55.74398705017431,55.74398705017431,55.74398705017431,55.74398705017431,55.74398705017431,55.74398705017431,55.74398705017431,55.74398705017431,55.74398705017431,55.74398705017431,55.74398705017431,55.74398705017431,55.74398705017431,55.74398705017431,55.74398705017431,55.74398705017431,55.74398705017431,55.74398705017431,55.74398705017431,55.74398705017431,55.74398705017431,55.74398705017431,55.74398705017431,55.74398705017431,55.74398705017431,55.74398705017431,55.74398705017431,55.74398705017431,55.74398705017431,55.74398705017431,55.74398705017431,55.74398705017431,55.74398705017431,55.74398705017431,55.74398705017431,55.74398705017431,55.74398705017431,55.74398705017431,55.74398705017431,55.74398705017431,55.74398705017431,55.74398705017431,56.22496911253842,56.22496911253842,56.22496911253842,56.22496911253842,56.22496911253842,56.22496911253842,56.22496911253842,56.22496911253842,56.22496911253842,56.22496911253842,56.22496911253842,56.22496911253842,56.22496911253842,54.14606468213986,54.14606468213986,54.14606468213986,54.14606468213986,54.14606468213986,54.14606468213986,54.14606468213986,54.14606468213986,54.14606468213986,54.14606468213986,54.14606468213986,54.14606468213986,53.7740772329606,53.7740772329606,53.7740772329606,53.7740772329606,53.7740772329606,53.7740772329606,53.7740772329606,53.7740772329606,53.50283686419498,53.50283686419498,53.50283686419498,53.50283686419498,53.50283686419498,53.50283686419498,53.50283686419498,53.50283686419498,53.50283686419498,53.50283686419498,53.50283686419498,53.50283686419498,53.06526063700359,53.06526063700359,53.06526063700359,53.06526063700359,53.06526063700359,53.06526063700359,53.06526063700359,54.5459130833222,54.5459130833222,54.5459130833222,54.5459130833222,54.5459130833222,54.5459130833222,54.5459130833222,54.5459130833222,54.5459130833222,54.5459130833222,54.5459130833222,54.5459130833222,54.5459130833222,53.30301203467982,53.30301203467982,53.30301203467982,53.30301203467982,53.30301203467982,53.30301203467982,53.30301203467982,52.48283046607769,52.48283046607769,51.318409649781216,51.318409649781216,51.318409649781216,51.318409649781216,51.318409649781216,51.318409649781216,51.318409649781216,51.318409649781216,51.318409649781216,51.318409649781216,51.318409649781216,51.318409649781216,51.318409649781216,51.318409649781216,51.318409649781216,51.318409649781216,51.318409649781216,51.318409649781216,51.318409649781216,51.318409649781216,51.318409649781216,51.318409649781216,51.318409649781216,51.318409649781216,51.318409649781216,51.83864079660578,51.83864079660578,51.83864079660578,51.83864079660578,51.83864079660578,51.83864079660578,51.83864079660578,51.83864079660578,50.59890984850679,50.59890984850679,50.59890984850679,50.59890984850679,50.59890984850679,50.59890984850679,50.59890984850679,50.59890984850679,50.59890984850679,50.59890984850679,50.59890984850679,50.59890984850679,50.59890984850679,50.59890984850679,50.59890984850679,50.59890984850679,50.59890984850679,50.59890984850679,50.59890984850679,50.59890984850679,50.59890984850679,50.59890984850679,50.59890984850679,50.59890984850679,50.59890984850679
Skaven,Order,imgurl,31.824986572797492,27.33896781079709,27.77831606852229,25.68213042866459,29.261209897245358,29.261209897245358,27.231409353923706,27.231409353923706,27.231409353923706,27.231409353923706,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,31.328490956449063,33.37051961215296,33.599935189255575,33.599935189255575,33.599935189255575,33.599935189255575,33.599935189255575,33.599935189255575,33.599935189255575,33.599935189255575,33.59385171317613,35.96022436325477,35.96022436325477,35.96022436325477,35.96022436325477,35.96022436325477,35.96022436325477,36.479355898959845,36.479355898959845,35.11342410389178,35.935119370245275,35.935119370245275,35.935119370245275,35.935119370245275,35.935119370245275,35.935119370245275,35.40200253833709,36.574825478888876,36.574825478888876,36.574825478888876,36.574825478888876,36.574825478888876,36.574825478888876,36.574825478888876,36.574825478888876,36.574825478888876,35.944235569685354,35.944235569685354,35.944235569685354,35.944235569685354,35.944235569685354,35.944235569685354,35.944235569685354,35.944235569685354,35.944235569685354,35.944235569685354,35.944235569685354,35.944235569685354,35.944235569685354,35.944235569685354,35.944235569685354,35.944235569685354,35.944235569685354,35.944235569685354,35.944235569685354,35.944235569685354,35.944235569685354,35.944235569685354,35.944235569685354,35.944235569685354,35.944235569685354,35.944235569685354,35.944235569685354,35.944235569685354,35.02144021618905,35.02144021618905,34.16455881651391,34.23877868085612,34.23877868085612,34.34748605816092,34.34748605816092,34.34748605816092,32.88828173215799,32.88828173215799,35.15257591467371,35.15257591467371,35.15257591467371,35.15257591467371,41.12691027299881,41.12691027299881,41.12691027299881,42.813768591185635,42.813768591185635,42.813768591185635,42.72996052010654,42.63221082846171,48.17861160303984,48.460696548177495,46.74160795172387,47.17442986464542,47.17442986464542,47.394783727361485,47.394783727361485,46.529728013903195,47.88879983100355,47.88879983100355,50.861538513388965,51.619116510673436,51.619116510673436,52.818094082308406,52.818094082308406,52.818094082308406,52.818094082308406,52.299237049710825,52.299237049710825,53.13440315018718,53.13440315018718,53.16136836427164,53.16136836427164,53.16136836427164,54.787392194127,55.20934080782614,58.27798046704941,58.27798046704941,58.27798046704941,58.27798046704941,55.17426929852834,54.28820700821724,51.697959027088906,51.697959027088906,51.697959027088906,51.84050540756973,54.38336681217697,54.38336681217697,55.01263390290013,55.200989136437535,56.027510557588755,55.82367071687487,55.82367071687487,55.551692568550706,55.551692568550706,54.646627211848326,54.72082067577827,54.8535389286186,51.485275803271506,52.546480409997166,52.24774999015368,52.584100055987484,52.584100055987484,53.75106190890832,53.75106190890832,52.690961013185074,51.23378201139514,51.23378201139514,51.718141165579965,52.60263759333355,53.35431462867179,53.35431462867179,51.529004986475336,51.49949373394413,48.3612558009146,48.3612558009146,47.69745677667675,46.94864318952741,45.43310894598508,45.23686624349119,46.25579998583767,46.25579998583767,46.25579998583767,46.25579998583767,44.30894770403221,43.75504368449541,43.75504368449541,43.75504368449541,43.75504368449541,43.75504368449541,43.75504368449541,43.75504368449541,42.673481165557426,41.44748526395564,39.05989089069431,38.39377258367689,37.834602150526095,37.834602150526095,37.834602150526095,37.834602150526095,37.82304355378902,38.79662641612317,36.373707487510494,35.36430551952275,35.36430551952275,35.217044802604214,35.217044802604214,33.74557972760346,33.74557972760346
Hedonites of Slaanesh,Order,imgurl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.066130107462854,36.066130107462854,36.066130107462854,36.066130107462854,36.066130107462854,57.559539860453846,57.559539860453846,57.559539860453846,57.559539860453846,52.76110554021588,53.366987490441566,53.37307643248956,53.35819229918712,53.35819229918712,58.78393125171616,58.78393125171616,58.78393125171616,58.78393125171616,57.74857555465032,57.74857555465032,57.39018798184372,57.39018798184372,62.1194629241572,63.124608959931315,63.124608959931315,62.6670266570754,62.6670266570754,63.50037600152295,63.50037600152295,63.50037600152295,63.41554959484351,63.57911666058437,63.57911666058437,63.57911666058437,65.13078752767673,65.54796400904604,65.54796400904604,65.54796400904604,65.54796400904604,65.57244139895482,65.57244139895482,65.57244139895482,68.8377959818485,68.8377959818485,68.8377959818485,68.8377959818485,68.8377959818485,68.8377959818485,68.8377959818485,69.28811881375363,69.28811881375363,69.35073536330391,69.35073536330391,69.35073536330391,69.35073536330391,69.35073536330391,69.35073536330391,69.35073536330391,69.35073536330391,69.05568273440184,69.05568273440184,69.05568273440184,69.05568273440184,66.9368230740874,66.9368230740874,66.9368230740874,66.9368230740874,66.9368230740874,66.9368230740874,65.84379283154928,65.84379283154928,65.84379283154928,65.84379283154928,65.84379283154928,65.84379283154928,65.84379283154928,65.84379283154928,65.84379283154928,65.84379283154928,65.84379283154928,65.84379283154928,65.84379283154928,65.84379283154928,65.84379283154928,65.84379283154928,65.84379283154928,65.84379283154928,65.84379283154928,65.84379283154928,65.84379283154928,65.84379283154928,65.84379283154928
Daughters of Khaine,Order,imgurl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.535427100804256,43.535427100804256,43.535427100804256,48.48249934694484,48.48249934694484,48.48249934694484,48.48249934694484,48.48249934694484,48.48249934694484,48.48249934694484,48.48249934694484,58.215966132717675,51.001723340568766,51.001723340568766,51.001723340568766,51.001723340568766,45.266501109461515,45.266501109461515,45.266501109461515,45.266501109461515,45.266501109461515,45.266501109461515,45.266501109461515,45.266501109461515,45.266501109461515,45.266501109461515,45.266501109461515,49.70995397404522,49.70995397404522,50.62503935421326,50.62503935421326,48.63969625797115,48.63969625797115,48.63969625797115,48.63969625797115,48.63969625797115,50.59469529243968,52.92550367222123,52.92550367222123,53.79352670539173,59.5392672546505,59.5392672546505,60.330705138911426,60.330705138911426,60.057446411706245,58.95613805831124,62.5374166329621,63.53741018972579,64.00056343234185,64.00056343234185,64.00056343234185,64.34096683252919,65.38051148821573,65.38051148821573,65.4532204488127,65.4532204488127,65.60515101825878,66.89381806677798,65.60813540761848,66.13892281410244,66.13892281410244,69.90764770899688,69.90764770899688,72.18394249917421,71.75673621485804,72.11682008073555,72.2499788113119,72.2499788113119,73.14476221095934,73.14476221095934,72.70160859299236,73.17748830680651,70.53630628786895,70.53630628786895,69.66925723347192,69.66925723347192,68.46472188556203,68.46472188556203,68.56821129307936,69.43463726245018,69.53430269120163,68.01524105076926,68.45166873049007,68.45166873049007,66.98106949704261,67.53208377781009,67.47805450632839,67.47805450632839,67.98402093255211,68.26279695492441,68.81608328113283,68.81608328113283,67.81421736318408,68.17545188063734,68.17545188063734,66.96413575416359,66.96413575416359,65.69480662966805,63.642432882356864,63.642432882356864,63.55150163619959,63.264213624714436,62.83275267730983,63.25753767078743,63.25753767078743,63.25753767078743,63.25753767078743,63.00044458691564,62.46470287222966,62.386241869080834,62.386241869080834,62.386241869080834,62.386241869080834,62.386241869080834,61.88134422860728,61.88134422860728,62.3023390008246,62.3023390008246,62.47939047826232,62.47939047826232,60.26928195084115,60.29610240891886,60.043072610654136,60.043072610654136,61.15635115721844,61.15635115721844,60.4451578738835,60.61127948128932,61.18867024442263,60.481200362106634,60.481200362106634,58.15154245572584,58.6413289042904,58.706373592785816,58.706373592785816,58.706373592785816,58.004551645561655,59.14252725798719,59.10916778418465,59.51383088932578,60.28253541618686,60.28253541618686,59.904207920761245,59.904207920761245,59.904207920761245,60.16149690876696,60.16149690876696,60.16149690876696,58.977295141563644,58.66430309682918,58.66430309682918,58.66430309682918,58.66430309682918,58.66430309682918,58.24428948450912,58.24428948450912,58.24428948450912,58.24428948450912,58.13144421988273,58.13144421988273,57.49326179631156,57.49326179631156,56.57987911937758,56.57987911937758,56.53549305822622,56.615144725316114,56.615144725316114,56.615144725316114,56.615144725316114,56.615144725316114,56.615144725316114,56.615144725316114,56.615144725316114,56.615144725316114,56.615144725316114,56.615144725316114,56.103083918904225,56.103083918904225,56.103083918904225,56.103083918904225,56.103083918904225,56.103083918904225,56.103083918904225,56.103083918904225,56.103083918904225,56.103083918904225,56.103083918904225,57.45275126249041,57.45275126249041
Idoneth Deepkin,Order,imgurl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.90487303805827,47.90487303805827,47.90487303805827,47.90487303805827,47.90487303805827,47.90487303805827,47.90487303805827,47.90487303805827,47.90487303805827,47.90487303805827,47.90487303805827,47.90487303805827,47.90487303805827,47.90487303805827,47.90487303805827,47.90487303805827,47.90487303805827,47.90487303805827,47.90487303805827,47.90487303805827,47.90487303805827,47.90487303805827,47.90487303805827,47.90487303805827,47.90487303805827,58.82915271581719,65.06956898006331,65.06956898006331,65.06956898006331,69.04435539721482,64.21533414583465,61.97821478357232,61.97821478357232,56.799335266444324,56.799335266444324,61.89192207467794,63.25421084533688,63.25421084533688,63.25421084533688,63.25421084533688,65.21492602847485,68.57005168131829,68.57005168131829,68.57005168131829,68.57005168131829,68.86469917069938,69.41658216915512,66.67053718421651,65.82736791604736,65.82736791604736,67.74240122859449,67.74240122859449,67.88834125426412,67.22141536809586,67.48795321797354,67.48795321797354,67.48795321797354,67.48795321797354,67.48795321797354,68.36567584300128,67.50639097254553,67.50639097254553,67.50639097254553,67.27251569107271,65.94041691064142,66.35352913767915,65.58716420784631,65.58716420784631,65.58716420784631,65.58716420784631,65.28477764298191,66.51344040921519,66.51344040921519,66.29424143399865,64.04949774040216,62.37426393939064,62.37426393939064,62.18753060086998,63.62852651060794,63.115415758010236,63.115415758010236,62.16753611313265,62.16753611313265,62.16753611313265,62.16753611313265,62.16753611313265,60.33430367479556,58.97781859751491,58.97781859751491,58.737923642277444,59.00688859052589,59.82446027247385,59.066924188797486,59.066924188797486,59.066924188797486,59.23526960121909,59.23526960121909,59.955956875868765,59.77738646460951,59.77738646460951,60.991765024601854,60.991765024601854,60.991765024601854,60.41226895488598,59.332183814058915,58.80337680702952,58.80337680702952,58.507125141492686,55.4283900005388,57.917528306096145,58.85284294634304,58.85284294634304,59.15220392059604,59.15220392059604,59.15220392059604,56.734161649167014,57.3574180565389,58.067405429872345,57.79071348829941,57.79071348829941,57.77313356012997,56.816678849961754,57.05762228864779,56.90981908506275,56.90981908506275,55.69025270344635,56.265600649861256,55.49068940738171,54.70961148838344,54.62831912728892,54.62831912728892,54.62831912728892,54.89526821827957,54.89526821827957,54.60555969051814,56.00775012101093,56.00775012101093,57.02076747110516,57.02076747110516,56.414210408030094,56.414210408030094,56.58385914203189,55.87146913993572,59.85646736370171,59.85646736370171,60.114140944677,60.114140944677,59.45712061128791,58.49894528826411,59.46533633670236,59.46533633670236,59.46533633670236,59.46533633670236,60.71582619094331,60.71582619094331,60.78883384063641,60.78883384063641,60.11163982320748,60.11163982320748,60.11163982320748,60.3024936538988,59.765017007899964,60.46873554562609,60.20332799081523,58.824849096092734,58.47649723822086,57.53650012817712,57.53650012817712,56.66515688675874,56.978975331461086,56.25859832841573,53.98284316542554,53.55949079627453,53.55949079627453,53.1807187528786,53.1807187528786,53.434647062551825,53.434647062551825
Skaventide,Order,imgurl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.881149419085716,50.537779036208185,50.537779036208185,50.537779036208185,47.52139899007997,47.52139899007997,51.12176039021505,51.12176039021505,53.832492049377905,53.832492049377905,53.832492049377905,53.832492049377905,53.832492049377905,53.832492049377905,53.832492049377905,53.832492049377905,53.832492049377905,50.34862878922779,57.75155994423191,57.75155994423191,57.75155994423191,57.75155994423191,60.93064632521421,60.93064632521421,60.912646850633344,60.912646850633344,59.10659887834172,59.10659887834172,58.338790672093765,59.29827382019699,59.29827382019699,59.518573858924235,59.518573858924235,59.518573858924235,59.518573858924235,60.74596458872497,61.14873552641861,62.05242486824886,61.723621999374586,60.11470086326975,60.11470086326975,60.11470086326975,60.57392197232195,60.57392197232195,60.57462620012561,60.57462620012561,60.57462620012561,61.39475075938218,60.212628683666686,60.212628683666686,60.212628683666686,59.261723149804176,60.4623616558522,60.4623616558522,60.4623616558522,60.4623616558522,60.91754887260311,60.91754887260311,60.91754887260311,60.91754887260311,60.91754887260311,60.91754887260311,59.20432599496349,59.20432599496349,59.20432599496349,59.20432599496349,58.95228155801865,58.95228155801865,58.95228155801865,58.95228155801865,59.53943697259405,59.53943697259405,59.53943697259405,59.53943697259405,59.71286502043408,59.71286502043408,59.71286502043408,59.71286502043408,59.71286502043408,59.71286502043408,59.71286502043408,59.71286502043408,59.71286502043408,59.71286502043408,56.62316852500977,56.62316852500977,54.415142672133456,54.415142672133456,54.415142672133456,54.415142672133456,54.415142672133456,54.415142672133456,54.415142672133456,54.415142672133456,54.415142672133456,54.415142672133456,54.415142672133456,54.415142672133456,54.415142672133456,54.415142672133456,54.415142672133456,54.415142672133456,54.415142672133456,54.415142672133456,54.415142672133456,54.415142672133456,54.415142672133456,54.415142672133456,54.415142672133456
Big Waaagh,Order,imgurl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6659189501342,54.36016626005686,54.36016626005686,54.36016626005686,54.36016626005686,54.36016626005686,54.36016626005686,54.36016626005686,54.36016626005686,54.36016626005686,60.00583896750356,60.09213815261936,57.365598767928965,57.365598767928965,57.365598767928965,57.365598767928965,52.32753908227991,52.32753908227991,53.96710434418294,53.96710434418294,53.96710434418294,53.96710434418294,53.68373974816988,53.68373974816988,53.68373974816988,53.68373974816988,54.4145055390463,54.4145055390463,56.08036187622817,56.08036187622817,56.08036187622817,56.08036187622817,56.08036187622817,56.08036187622817,56.08036187622817,56.08036187622817,56.08036187622817,56.08036187622817,56.08036187622817,56.08036187622817,56.08036187622817,56.08036187622817,56.08036187622817,56.08036187622817,56.08036187622817,56.08036187622817,56.08036187622817,56.08036187622817,56.08036187622817,56.08036187622817,56.08036187622817
