Daughters Of Khaine, 68, 77, 81, 63, 81,
Hosts of Slaanesh, 80, 61, 80, 90, 57,
Disciples Of Tzeentch, 66, 83, 55, 77, 83,
Legion of Sacrament, 57, 42, 71, 71, 85,
Idoneth Deepkin, 66, 50, 70, 58, 70,
Flesh Eater Courts, 62, 62, 62, 68, 56,
Grand Host of Nagash, 71, 57, 42, 64, 64,
Skaven, 52, 66, 66, 50, 61,
Blades of Khorne, 46, 53, 53, 60, 80,
Ogor Mawtribes, 60, 80, 60, 40, 40,
Legion of Blood, 70, 40, 70, 40, 60,
Legion of Grief, 40, 60, 60, 40, 80,
Stormcast Eternals, 48, 48, 54, 66, 63,
Ironjawz, 70, 37, 58, 54, 58,
Daemons Of Slaanesh, 50, 62, 37, 62, 62,
Fyreslayers, 41, 41, 83, 58, 50,
Nighthaunt, 61, 46, 53, 61, 46,
Gloomspite Gitz, 40, 46, 66, 60, 53,
Tempest Eye, 66, 33, 33, 66, 66,
Legions of Nagash, 66, 66, 33, 66, 33,
Ossiarch Bonereapers, 40, 60, 80, 20, 60,
Maggotkin of Nurgle, 53, 61, 53, 46, 46,
Sylvaneth, 57, 68, 42, 52, 31,
Orruks, 50, 50, 50, 50, 50,
UNKNOWN_ARMY, 65, 50, 40, 50, 45,
Cities of Sigmar, 44, 55, 11, 66, 66,
Kharadron Overlords, 40, 60, 40, 40, 60,
Bonesplitterz, 37, 62, 37, 50, 50,
Seraphon, 40, 46, 46, 53, 46,
Slaves To Darkness, 66, 66, 33, 33, 33,
Skaven Pestilens, 66, 33, 33, 33, 66,
Beasts of Chaos, 60, 40, 40, 0, 60,
Free Peoples, 50, 50, 50, 0, 50,
Tomb Kings, 0, 50, 50, 50, 50,
Legion of Azgorh, 50, 0, 50, 50, 50,
Mixed, 37, 25, 62, 37, 37,
Daemons Of Nurgle, 66, 33, 33, 0, 66,
Phoenix Temple, 66, 33, 33, 33, 33,
Order Draconis, 0, 66, 66, 33, 33,
Legion of Night, 66, 0, 33, 33, 66,
Daemons Of Tzeentch, 0, 75, 0, 75, 25,
Khorne Bloodbound, 0, 66, 33, 0, 66,
Hammerhal, 0, 0, 50, 50, 50,
Monsters Of Destruction, 50, 0, 0, 50, 50,
Dispossessed, 0, 50, 50, 0, 0,
Everchosen, 50, 0, 0, 50, 0,
Gutbusters, 50, 0, 0, 50, 0,
Death Grand Alliance, 50, 0, 0, 0, 50,
Greywater Fastness, 50, 50, 0, 0, 0,
Beastclaw Raiders, 0, 33, 33, 0, 33,
Daemons Of Khorne, 0, 0, 0, 0, 0,
Tzeentch Arcanites, 0, 0, 0, 0, 0,
Thunderscorn, 0, 0, 0, 0, 0,
Legion Of Azgorh, 0, 0, 0, 0, 0,
Soulblight, 0, 0, 0, 0, 0,
Swifthawk Agents, 0, 0, 0, 0, 0,
Moonclan Grots, 0, 0, 0, 0, 0,
Maneaters, 0, 0, 0, 0, 0,
Brayherd, 0, 0, 0, 0, 0,
Anvilguard, 0, 0, 0, 0, 0,
Ironweld Arsonal, 0, 0, 0, 0, 0,
Hallowheart, 0, 0, 0, 0, 0,
