Jan2020,Disciples of Tzeentch,71.6894157406,20
Jan2020,Mawtribes,45.5318408847,24
Jan2020,Idoneth Deepkin,63.6830651176,13
Jan2020,Slaves to Darkness,46.8918765587,12
Jan2020,Ossiarch Bonereapers,62.4826488174,21
Jan2020,Fyreslayers,64.4760227164,9
Jan2020,Nighthaunt,50.0,5
Jan2020,Flesh Eater Courts,40.5693782752,9
Jan2020,Ironjawz,44.7788771873,21
Jan2020,Bonesplitterz,61.4729251145,7
Jan2020,Kharadron Overlords,46.3030021784,7
Jan2020,Hosts of Slaanesh,57.8815292337,9
Jan2020,Skaven,27.3605247108,4
Jan2020,Cities of Sigmar,38.806150779,15
Jan2020,Tomb Kings,54.354746906,1
Jan2020,Stormcast Eternals,46.8299389314,13
Jan2020,Blades of Khorne,33.560008579,4
Jan2020,Hedonites of Slaanesh,21.549461421,3
Jan2020,Gloomspite Gitz,36.256138429,10
Jan2020,Seraphon,50.0510810413,4
Jan2020,Legions of Nagash,27.0103499001,1
Jan2020,Sylvaneth,46.0419384782,8
Jan2020,Maggotkin of Nurgle,37.0156306376,7
Jan2020,Daughters of Khaine,61.9788074158,5
Jan2020,Khorne Bloodbound,38.5270748855,7
Jan2020,Big Waaagh,44.2026480502,7
Jan2020,Grand Host of Nagash,29.8531615261,4
Jan2020,Order,54.9711135626,2
Jan2020,Skaventide,52.5975058788,4
Jan2020,Beasts of Chaos,45.2511639696,5
Jan2020,Legion of Night,49.2193041207,2
Jan2020,Legion of Grief,34.0541822385,1
Jan2020,Wanderers,22.0964644963,1
Jan2020,Tempests Eye,68.3416035572,1
Jan2020,Hammerhal,65.458438418,1
Jan2020,Hallowheart,54.7488360304,1
Dec2019,Bonesplitterz,62.7409464153,3
Dec2019,Blades of Khorne,66.9125611959,7
Dec2019,Hosts of Slaanesh,60.781497494,4
Dec2019,Skaventide,70.0208404531,1
Dec2019,Ossiarch Bonereapers,63.1767573473,11
Dec2019,Cities of Sigmar,58.9010362869,11
Dec2019,Mawtribes,45.026177517,7
Dec2019,Legion of Azgorh,48.8239781119,2
Dec2019,Stormcast Eternals,29.4863744438,10
Dec2019,Fyreslayers,33.0874388041,1
Dec2019,Big Waaagh,55.7973519498,7
Dec2019,Idoneth Deepkin,69.7081749571,3
Dec2019,Gloomspite Gitz,37.8930642351,12
Dec2019,Skaven,76.5773984787,3
Dec2019,Flesh Eater Courts,50.9972518195,9
Dec2019,Daughters of Khaine,42.2131288365,2
Dec2019,Grand Host of Nagash,50.0,1
Dec2019,Maggotkin of Nurgle,43.7602216148,3
Dec2019,Legion of Blood,38.5270748855,1
Dec2019,Legions of Nagash,79.5314204653,1
Dec2019,Sylvaneth,44.788780495,4
Dec2019,Seraphon,43.4625889338,2
Dec2019,Legion of Grief,49.2616595365,2
Dec2019,Ironjawz,38.2979077081,8
Dec2019,Nighthaunt,41.0989637131,1
Dec2019,Disciples of Tzeentch,28.2645648497,1
Dec2019,Hedonites of Slaanesh,79.6766849126,1
Nov2019,Orruk Warclans,57.4365688156,5
Nov2019,Skaventide,42.5777724743,8
